OBJECTID,NEIGH_NO,NEIGH_NAME,DETL_NAMES,NEIGHDIST_NO,NEIGHDIST_NAME,AREA_ACRES,AREA_SQMI,F1990_PL_data_TOT_POP,F1990_PL_data_WHITE_NOT,F1990_PL_data_BLACK_NOT,F1990_PL_data_AMI_NOT,F1990_PL_data_ASIAN_NOT,F1990_PL_data_OTHER_NOT,F1990_PL_data_WHITE_HISP,F1990_PL_data_BLACK_HISP,F1990_PL_data_AMI_HISP,F1990_PL_data_ASIAN_HISP,F1990_PL_data_OTHER_HISP,F1990_PL_data_HISPANIC,F1990_PL_data_NOT_HISP,F1990_PL_data_POC,F1990_PL_data_POP_UNDER_18,F1990_PL_data_POC_U_18,F1990_PL_data_POP_OVER_18,F1990_PL_data_HU,F1990_PL_data_HU_OCC,F1990_PL_data_HU_VAC,F2000_PL_data_TOT_POP,F2000_PL_data_POP_ONE,F2000_PL_data_WHITE_ALONE,F2000_PL_data_BLACK_ALONE,F2000_PL_data_AMI_ALONE,F2000_PL_data_ASIAN_ALONE,F2000_PL_data_PI_ALONE,F2000_PL_data_OTHER_ALONE,F2000_PL_data_TWO_MORE,F2000_PL_data_HISPANIC,F2000_PL_data_NOT_HISPANIC,F2000_PL_data_WHITE_NOT_HISPANI,F2000_PL_data_BLACK_NOT_HISPANI,F2000_PL_data_AMI_NOT_HISPANIC,F2000_PL_data_ASIAN_NOT_HISPANI,F2000_PL_data_PI_NOT_HISPANIC,F2000_PL_data_OTHER_NOT_HISPANI,F2000_PL_data_TWO__NOT_HISPANIC,F2000_PL_data_POC,F2000_PL_data_POP_OVER_18,F2000_PL_data_POP_UNDER_18,F2000_PL_data_U_18_POC,F2000_PL_data_HU,F2000_PL_data_HU_OCC,F2000_PL_data_HU_VAC,F2010_PL_data_TOT_POP,F2010_PL_data_POP_ONE,F2010_PL_data_WHITE_ALONE,F2010_PL_data_BLACK_ALONE,F2010_PL_data_AMI_ALONE,F2010_PL_data_ASIAN_ALONE,F2010_PL_data_PI_ALONE,F2010_PL_data_OTHER_ALONE,F2010_PL_data_TWO_MORE,F2010_PL_data_HISPANIC,F2010_PL_data_NOT_HISPANIC,F2010_PL_data_WHITE_NOT_HISPANI,F2010_PL_data_BLACK_NOT_HISPANI,F2010_PL_data_AMI_NOT_HISPANIC,F2010_PL_data_ASIAN_NOT_HISPANI,F2010_PL_data_PI_NOT_HISPANIC,F2010_PL_data_OTHER_NOT_HISPANI,F2010_PL_data_TWO__NOT_HISPANIC,F2010_PL_data_POC,F2010_PL_data_POP_OVER_18,F2010_PL_data_POP_UNDER_18,F2010_PL_data_U_18_POC,F2010_PL_data_HU,F2010_PL_data_HU_OCC,F2010_PL_data_HU_VACANT,F2020_PL_data_TOT_POP,F2020_PL_data_POP_ONE,F2020_PL_data_WHITE_ALONE,F2020_PL_data_BLACK_ALONE,F2020_PL_data_AMI_ALONE,F2020_PL_data_ASIAN_ALONE,F2020_PL_data_PI_ALONE,F2020_PL_data_OTHER_ALONE,F2020_PL_data_TWO_MORE,F2020_PL_data_HISPANIC,F2020_PL_data_NOT_HISPANIC,F2020_PL_data_WHITE_NOT_HISPANI,F2020_PL_data_BLACK_NOT_HISPANI,F2020_PL_data_AMI_NOT_HISPANIC,F2020_PL_data_ASIAN_NOT_HISPANI,F2020_PL_data_PI_NOT_HISPANIC,F2020_PL_data_OTHER_NOT_HISPANI,F2020_PL_data_TWO__NOT_HISPANIC,F2020_PL_data_POC,F2020_PL_data_POP_OVER_18,F2020_PL_data_POP_UNDER_18,F2020_PL_data_U_18_POC,F2020_PL_data_HU,F2020_PL_data_HU_OCC,F2020_PL_data_HU_VACANT,F1990_PL_data_GQ_I,F1990_PL_data_GQ_N_I,F2000_PL_data_GQ_I,F2000_PL_data_GQ_N_I,F2010_PL_data_GQ_I,F2010_PL_data_GQ_N_I,F2020_PL_data_GQ_I,F2020_PL_data_GQ_N_I,Shape__Area,Shape__Length
1,1.1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,Southwest,785.9,1.23,6247,5603,79,82,275,3,104,2,1,17,81,205,6042,644,1284,189,4963,2649,2595,54,6146,5926,5334,119,67,315,19,72,220,224,5922,5223,110,62,311,18,8,190,923,4919,1227,313,2703,2615,88,6030,5687,5082,98,43,326,33,105,343,365,5665,4890,90,36,322,31,16,280,1140,4869,1161,342,2752,2612,140,6353,5667,4921,134,44,366,15,187,686,502,5851,4814,127,29,353,13,59,456,1539,5075,1278,456,2782,2659,123,0,0,0,8,5,3,0,5,34233874.1201172,27702.7276458367
2,1.2,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest,1393.1,2.18,12919,11746,261,126,455,8,171,12,12,18,110,323,12596,1173,2074,280,10845,6310,6079,231,13186,12741,11574,331,110,481,48,197,445,485,12701,11328,321,107,478,48,40,379,1858,11052,2134,469,6540,6329,211,13723,13062,11777,349,89,625,29,193,661,672,13051,11420,340,76,614,29,23,549,2303,11352,2371,649,6920,6513,407,14941,13341,11675,316,101,850,46,353,1600,1047,13894,11421,311,65,840,41,107,1109,3520,12290,2651,915,7099,6770,329,122,23,103,9,86,25,53,48,60685103.6318665,48830.0483169182
3,1.3,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest,1447.5,2.26,16017,14607,249,159,534,17,267,4,17,23,140,451,15566,1410,2769,351,13248,7529,7248,281,16312,15727,14278,376,160,597,60,256,585,700,15612,13906,366,138,586,59,38,519,2406,13561,2751,651,7913,7655,258,17713,16856,15299,342,122,855,46,192,857,845,16868,14803,328,102,845,43,30,717,2910,14511,3202,768,8889,8372,517,23352,20761,17821,584,119,1688,50,499,2591,1675,21677,17379,550,76,1657,43,114,1858,5973,19371,3981,1277,11820,11233,587,504,0,431,0,350,20,299,94,63054619.6175079,38739.8962573325
4,1.4,Alki/Admiral,"Alki, Admiral",1,Southwest,898.3,1.4,9880,9212,82,64,288,3,141,2,3,6,79,231,9649,668,1197,101,8683,5323,5137,186,10242,9915,9208,113,71,411,12,100,327,262,9980,9071,107,62,406,10,31,293,1171,8987,1255,192,5708,5456,252,10542,10153,9240,188,73,554,6,92,389,411,10131,8957,180,64,550,6,27,347,1585,9034,1508,374,6068,5528,540,11802,10699,9470,243,82,716,6,182,1103,699,11103,9273,231,66,702,6,56,769,2529,10104,1698,526,6163,5778,385,143,3,101,0,107,24,149,33,39129742.8796234,50339.6564153755
5,2.1,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods,1606.9,2.51,3724,2844,315,84,308,4,79,1,9,8,72,169,3555,880,761,271,2963,1785,1597,188,4338,4114,3104,321,49,426,44,170,224,368,3970,2985,310,42,422,42,7,162,1353,3655,683,377,2257,2110,147,4787,4514,3529,318,52,402,30,183,273,517,4270,3294,300,37,399,24,8,208,1493,4104,683,334,2618,2403,215,6257,5433,4106,370,46,702,29,180,824,614,5643,3942,357,27,691,29,36,561,2315,5367,890,455,3362,3163,199,0,84,0,49,1,16,0,52,69994939.1828003,64237.7426816208
6,2.2,High Point,"High Point, Delridge",2,Delridge Neighborhoods,553.2,0.86,5527,2139,1317,215,1441,15,133,22,34,55,156,400,5127,3388,2040,1523,3487,2080,1943,137,6140,5576,1899,1323,151,1632,128,443,564,717,5423,1779,1266,112,1626,127,30,483,4361,3983,2157,1843,2208,2111,97,7064,6634,2745,2319,85,1058,119,308,430,730,6334,2502,2261,64,1045,115,17,330,4562,4891,2173,1819,2805,2624,181,8657,7704,3497,2549,85,1190,54,329,953,841,7816,3340,2506,61,1175,52,47,635,5317,6328,2329,1866,3464,3350,114,0,0,42,0,53,5,46,64,24096694.2128601,22626.0082154467
7,2.3,Riverview,"Riverview, Delridge",2,Delridge Neighborhoods,1005.9,1.57,3550,2158,272,108,757,17,82,15,15,30,96,238,3312,1392,1034,514,2516,1241,1196,45,4318,4002,2008,440,75,1188,118,173,316,293,4025,1926,437,74,1183,118,12,275,2392,3170,1148,804,1474,1415,59,4596,4300,2397,481,64,1126,74,158,296,376,4220,2259,466,36,1122,74,18,245,2337,3535,1061,741,1759,1667,92,5063,4426,2636,434,74,1093,43,146,637,489,4574,2538,424,43,1082,41,22,424,2525,4017,1046,633,1901,1820,81,0,13,0,0,10,3,6,35,43817259.5769348,37828.4217614745
8,2.4,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods,978.5,1.53,10932,7856,735,233,1408,29,304,15,30,33,289,671,10261,3076,2525,1001,8407,4832,4654,178,12077,11361,7390,1143,198,1617,155,858,716,1344,10733,7053,1087,183,1616,155,40,599,5024,9407,2670,1628,5388,5188,200,12392,11578,7685,1106,205,1598,98,886,814,1923,10469,6969,1072,137,1577,97,19,598,5423,9789,2603,1646,5678,5323,355,12877,11109,7372,1119,168,1469,86,895,1768,2015,10862,7038,1094,73,1459,80,84,1034,5839,10501,2376,1445,5865,5614,251,0,12,0,0,0,0,0,21,42622650.6280365,33451.4986286928
9,2.5,Highland Park,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods,897.7,1.4,5436,3790,362,124,805,11,172,7,8,34,123,344,5092,1646,1328,500,4108,2160,2083,77,6045,5644,3248,615,96,1208,93,384,401,587,5458,3103,603,91,1208,93,19,341,2942,4468,1577,1079,2286,2213,73,6065,5609,3364,432,127,1236,93,357,456,896,5169,3004,409,86,1220,93,10,347,3061,4797,1268,909,2895,2398,497,6689,5760,3541,601,108,1036,69,405,929,996,5693,3378,582,72,1030,64,29,538,3311,5461,1228,772,2928,2787,141,19,2,20,6,4,14,0,65,39103231.3899078,31097.8436605651
10,3.1,South Park,South Park,3,Greater Duwamish,693.9,1.08,2845,1755,229,82,351,2,154,9,14,15,234,426,2419,1090,771,362,2074,1242,1128,114,3708,3494,1618,312,74,524,51,915,214,1378,2330,1255,288,55,522,48,5,157,2453,2677,1031,831,1297,1224,73,3873,3643,1711,402,75,616,62,777,230,1456,2417,1235,344,46,609,61,7,115,2638,2907,966,816,1473,1300,173,3707,3163,1378,372,104,591,46,672,544,1175,2532,1240,361,48,581,39,23,240,2467,2930,777,660,1467,1362,105,0,27,76,0,98,0,25,68,30228043.4118958,36300.1031653932
