,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
0,Upper Queen Anne,106,52.65872029,1990,total population,1921.0
1,Fremont,302,214.511083,1990,total population,3153.0
2,West Seattle Junction,205,270.4170255,1990,total population,3627.0
3,Columbia City,111,334.5433404,1990,total population,4281.0
4,First Hill/Capitol Hill,414,916.2218015,1990,total population,28940.0
5,Roosevelt,202,170.2117761,1990,total population,2210.0
6,South Lake Union,312,339.886927,1990,total population,1116.0
7,University District,401,751.9638778,1990,total population,18166.0
8,Crown Hill,103,270.9887543,1990,total population,3600.0
9,Westwood-Highland Park,127,275.0621961,1990,total population,3765.0
10,Lake City,201,142.2670425,1990,total population,2111.0
11,Greater Duwamish,502,4953.281793,1990,total population,1390.0
13,Green Lake,207,107.4446385,1990,total population,2119.0
14,Northgate,301,412.2911233,1990,total population,4958.0
15,North Beacon Hill,110,266.8762908,1990,total population,5067.0
16,Ballard-Interbay-Northend,501,931.9728637,1990,total population,1224.0
18,Downtown,413,953.2817465,1990,total population,12193.0
19,Uptown,412,333.000698,1990,total population,4472.0
20,Rainier Beach,204,346.1438736,1990,total population,3393.0
21,23rd & Union-Jackson,109,625.2664128,1990,total population,7631.0
22,Bitter Lake Village,114,363.7795662,1990,total population,3573.0
23,Mt Baker,305,491.0180584,1990,total population,3665.0
24,Admiral,113,98.24835065,1990,total population,1186.0
25,Aurora-Licton Springs,101,326.9585992,1990,total population,4709.0
26,Morgan Junction,206,113.3093773,1990,total population,1595.0
27,Eastlake,107,199.2559558,1990,total population,3613.0
28,Wallingford,203,258.0056129,1990,total population,4102.0
29,Ballard,303,495.4763052,1990,total population,8532.0
30,South Park,128,263.7986201,1990,total population,2362.0
31,Othello,123,498.9632413,1990,total population,6178.0
0,Upper Queen Anne,106,52.65872029,2000,total population,2018.0
1,Fremont,302,214.511083,2000,total population,3441.0
2,West Seattle Junction,205,270.4170255,2000,total population,4127.0
3,Columbia City,111,334.5433404,2000,total population,4991.0
4,First Hill/Capitol Hill,414,916.2218015,2000,total population,33902.0
5,Roosevelt,202,170.2117761,2000,total population,2479.0
6,South Lake Union,312,339.886927,2000,total population,1547.0
7,University District,401,751.9638778,2000,total population,19664.0
8,Crown Hill,103,270.9887543,2000,total population,3874.0
9,Westwood-Highland Park,127,275.0621961,2000,total population,4330.0
10,Lake City,201,142.2670425,2000,total population,2728.0
11,Greater Duwamish,502,4953.281793,2000,total population,1348.0
13,Green Lake,207,107.4446385,2000,total population,2342.0
14,Northgate,301,412.2911233,2000,total population,6131.0
15,North Beacon Hill,110,266.8762908,2000,total population,5206.0
16,Ballard-Interbay-Northend,501,931.9728637,2000,total population,1364.0
18,Downtown,413,953.2817465,2000,total population,21555.0
19,Uptown,412,333.000698,2000,total population,5085.0
20,Rainier Beach,204,346.1438736,2000,total population,4339.0
21,23rd & Union-Jackson,109,625.2664128,2000,total population,8986.0
22,Bitter Lake Village,114,363.7795662,2000,total population,3658.0
23,Mt Baker,305,491.0180584,2000,total population,4544.0
24,Admiral,113,98.24835065,2000,total population,1352.0
25,Aurora-Licton Springs,101,326.9585992,2000,total population,5517.0
26,Morgan Junction,206,113.3093773,2000,total population,1886.0
27,Eastlake,107,199.2559558,2000,total population,4075.0
28,Wallingford,203,258.0056129,2000,total population,4778.0
29,Ballard,303,495.4763052,2000,total population,9394.0
30,South Park,128,263.7986201,2000,total population,3091.0
31,Othello,123,498.9632413,2000,total population,6530.0
0,Upper Queen Anne,106,52.65872029,2010,total population,2143.0
1,Fremont,302,214.511083,2010,total population,3960.0
2,West Seattle Junction,205,270.4170255,2010,total population,5043.0
3,Columbia City,111,334.5433404,2010,total population,4609.0
4,First Hill/Capitol Hill,414,916.2218015,2010,total population,35892.0
