OBJECTID,neighborhood,neighborhood_no,area,Year,Indicator Name,Value,elementary,middle,high,main elementary,main middle,main high,number of elementary schools,number of middle schools,number of high schools
1,Upper Queen Anne,106,52.65872029,1990,population_kids,125.0,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,1990,population_kids,266.0,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,1990,population_kids,413.0,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,1990,population_kids,1335.0,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,1990,population_kids,1729.0,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,1990,population_kids,295.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,1990,population_kids,80.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,1990,population_kids,592.0,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,1990,population_kids,579.0,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,1990,population_kids,970.0,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,1990,population_kids,253.0,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,1990,population_kids,480.0,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
