,Service Area,School Name,Year,Indicator Name,Value
0,Aki Kurose,MLK Jr,2010,Enrollment,369.0
1,Aki Kurose,Dunlap,2010,Enrollment,414.0
2,Aki Kurose,Emerson,2010,Enrollment,376.0
3,Aki Kurose,Graham Hill,2010,Enrollment,400.0
4,Aki Kurose,South Shore,2010,Enrollment,601.0
5,Aki Kurose,Wing Luke,2010,Enrollment,357.0
6,Denny,Arbor Heights,2010,Enrollment,376.0
7,Denny,Concord Intl.,2010,Enrollment,373.0
8,Denny,Highland Park,2010,Enrollment,420.0
9,Denny,Roxhill,2010,Enrollment,334.0
10,Denny,Sanislo,2010,Enrollment,315.0
11,Denny,West Seattle El,2010,Enrollment,360.0
12,Eckstein,AS #1,2010,Enrollment,150.0
13,Eckstein,Bryant,2010,Enrollment,570.0
14,Eckstein,Green Lake,2010,Enrollment,285.0
15,Eckstein,Jane Addams,2010,Enrollment,448.0
16,Eckstein,John Rogers,2010,Enrollment,280.0
17,Eckstein,Olympic Hills,2010,Enrollment,269.0
18,Eckstein,Olympic View,2010,Enrollment,487.0
19,Eckstein,Sacajawea,2010,Enrollment,273.0
20,Eckstein,Sand Point,2010,Enrollment,79.0
21,Eckstein,Thornton Creek,2010,Enrollment,349.0
22,Eckstein,View Ridge,2010,Enrollment,546.0
23,Eckstein,Wedgwood,2010,Enrollment,449.0
24,Hamilton,B. F. Day,2010,Enrollment,331.0
25,Hamilton,J. Stanford Intl.,2010,Enrollment,426.0
26,Hamilton,Laurelhurst,2010,Enrollment,437.0
27,Hamilton,McDonald,2010,Enrollment,57.0
28,Hamilton,West Woodland,2010,Enrollment,459.0
29,Madison,Alki,2010,Enrollment,363.0
30,Madison,Gatewood,2010,Enrollment,462.0
31,Madison,Lafayette,2010,Enrollment,526.0
32,Madison,Pathfinder,2010,Enrollment,492.0
33,Madison,Schmitz Park,2010,Enrollment,414.0
34,McClure,Catharine Blaine,2010,Enrollment,548.0
35,McClure,Coe,2010,Enrollment,433.0
36,McClure,John Hay,2010,Enrollment,487.0
37,McClure,Lawton,2010,Enrollment,436.0
38,McClure,Queen Anne,2010,Enrollment,113.0
39,Mercer,Beacon Hill Intl.,2010,Enrollment,448.0
40,Mercer,Dearborn Park,2010,Enrollment,358.0
41,Mercer,Hawthorne,2010,Enrollment,299.0
42,Mercer,Kimball,2010,Enrollment,497.0
43,Mercer,Maple,2010,Enrollment,463.0
44,Mercer,Orca,2010,Enrollment,508.0
45,Mercer,Van Asselt,2010,Enrollment,553.0
46,Washington,Gatzert,2010,Enrollment,349.0
47,Washington,John Muir,2010,Enrollment,416.0
48,Washington,Leschi,2010,Enrollment,350.0
49,Washington,Lowell,2010,Enrollment,545.0
50,Washington,Madrona,2010,Enrollment,356.0
51,Washington,McGilvra,2010,Enrollment,269.0
52,Washington,Montlake,2010,Enrollment,251.0
53,Washington,Stevens,2010,Enrollment,383.0
54,Washington,T. Marshall,2010,Enrollment,411.0
55,Washington,TOPS,2010,Enrollment,510.0
56,Whitman,Adams,2010,Enrollment,433.0
57,Whitman,Broadview-Thomson,2010,Enrollment,746.0
58,Whitman,Daniel Bagley,2010,Enrollment,385.0
59,Whitman,Greenwood,2010,Enrollment,327.0
60,Whitman,Loyal Heights,2010,Enrollment,395.0
61,Whitman,North Beach,2010,Enrollment,328.0
62,Whitman,Northgate,2010,Enrollment,266.0
63,Whitman,Salmon Bay,2010,Enrollment,589.0
64,Whitman,Whittier,2010,Enrollment,453.0
65,Middle Schools,Aki Kurose,2010,Enrollment,588.0
66,Middle Schools,Denny Intl.,2010,Enrollment,781.0
67,Middle Schools,Eckstein,2010,Enrollment,1213.0
68,Middle Schools,Hamilton Intl.,2010,Enrollment,853.0
69,Middle Schools,Madison,2010,Enrollment,849.0
70,Middle Schools,McClure,2010,Enrollment,514.0
71,Middle Schools,Mercer,2010,Enrollment,807.0
72,Middle Schools,Washington,2010,Enrollment,1061.0
73,Middle Schools,Whitman,2010,Enrollment,954.0
74,High Schools,Ballard,2010,Enrollment,1610.0
75,High Schools,Center School,2010,Enrollment,299.0
76,High Schools,Chief Sealth Intl.,2010,Enrollment,1078.0
77,High Schools,Cleveland,2010,Enrollment,738.0
78,High Schools,Franklin,2010,Enrollment,1301.0
79,High Schools,Garfield,2010,Enrollment,1788.0
80,High Schools,Ingraham,2010,Enrollment,970.0
81,High Schools,Nathan Hale,2010,Enrollment,1129.0
82,High Schools,Nova,2010,Enrollment,332.0
83,High Schools,Rainier Beach,2010,Enrollment,425.0
84,High Schools,Roosevelt,2010,Enrollment,1685.0
85,High Schools,West Seattle,2010,Enrollment,1016.0
86,Service Schools,Ed. Serv. Center,2010,Enrollment,49.0
87,Service Schools,Home School,2010,Enrollment,154.0
88,Service Schools,InterAgency,2010,Enrollment,366.0
89,Service Schools,Middle College,2010,Enrollment,174.0
90,Service Schools,Secondary BOC,2010,Enrollment,212.0
91,Service Schools,South Lake,2010,Enrollment,165.0
92,Service Schools,SpEd Consortium,2010,Enrollment,145.0
93,All,TOTAL,2010,Enrollment,47008.0
0,Aki Kurose,Martin Luther King Jr.,2011,Enrollment,349.0
1,Aki Kurose,Dunlap,2011,Enrollment,364.0
2,Aki Kurose,Emerson,2011,Enrollment,324.0
3,Aki Kurose,Graham Hill,2011,Enrollment,388.0
4,Aki Kurose,Rainier View,2011,Enrollment,169.0
5,Aki Kurose,South Shore,2011,Enrollment,594.0
6,Aki Kurose,Wing Luke,2011,Enrollment,351.0
7,Denny,Arbor Heights,2011,Enrollment,363.0
8,Denny,Concord Intl.,2011,Enrollment,391.0
9,Denny,Highland Park,2011,Enrollment,434.0
10,Denny,Roxhill,2011,Enrollment,377.0
11,Denny,Sanislo,2011,Enrollment,302.0
12,Denny,West Seattle Elem.,2011,Enrollment,406.0
13,Eckstein,Bryant,2011,Enrollment,548.0
14,Eckstein,Green Lake,2011,Enrollment,264.0
15,Eckstein,Jane Addams,2011,Enrollment,533.0
16,Eckstein,John Rogers,2011,Enrollment,247.0
17,Eckstein,Olympic Hills,2011,Enrollment,267.0
18,Eckstein,Olympic View,2011,Enrollment,469.0
19,Eckstein,Pinehurst,2011,Enrollment,143.0
20,Eckstein,Sacajawea,2011,Enrollment,260.0
21,Eckstein,Sand Point,2011,Enrollment,202.0
22,Eckstein,Thornton Creek,2011,Enrollment,371.0
23,Eckstein,View Ridge,2011,Enrollment,590.0
24,Eckstein,Wedgwood,2011,Enrollment,446.0
25,Hamilton,B. F. Day,2011,Enrollment,321.0
26,Hamilton,J. Stanford Intl.,2011,Enrollment,460.0
27,Hamilton,Laurelhurst,2011,Enrollment,420.0
