,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
0,Upper Queen Anne,106,52.65872029,1990,population_kids,125.0
1,Fremont,302,214.511083,1990,population_kids,266.0
2,West Seattle Junction,205,270.4170255,1990,population_kids,413.0
3,Columbia City,111,334.5433404,1990,population_kids,1335.0
4,First Hill/Capitol Hill,414,916.2218015,1990,population_kids,1729.0
5,Roosevelt,202,170.2117761,1990,population_kids,295.0
6,South Lake Union,312,339.886927,1990,population_kids,80.0
7,University District,401,751.9638778,1990,population_kids,592.0
8,Crown Hill,103,270.9887543,1990,population_kids,579.0
9,Westwood-Highland Park,127,275.0621961,1990,population_kids,970.0
10,Lake City,201,142.2670425,1990,population_kids,253.0
11,Greater Duwamish,502,4953.281793,1990,population_kids,148.0
12,Madison-Miller,131,145.3234203,1990,population_kids,480.0
13,Green Lake,207,107.4446385,1990,population_kids,103.0
14,Northgate,301,412.2911233,1990,population_kids,439.0
15,North Beacon Hill,110,266.8762908,1990,population_kids,1001.0
16,Ballard-Interbay-Northend,501,931.9728637,1990,population_kids,107.0
17,Greenwood-Phinney Ridge,102,94.15764497,1990,population_kids,260.0
18,Downtown,413,953.2817465,1990,population_kids,276.0
19,Uptown,412,333.000698,1990,population_kids,172.0
20,Rainier Beach,204,346.1438736,1990,population_kids,1159.0
21,23rd & Union-Jackson,109,625.2664128,1990,population_kids,2036.0
22,Bitter Lake Village,114,363.7795662,1990,population_kids,379.0
23,Mt Baker,305,491.0180584,1990,population_kids,931.0
24,Admiral,113,98.24835065,1990,population_kids,145.0
25,Aurora-Licton Springs,101,326.9585992,1990,population_kids,745.0
26,Morgan Junction,206,113.3093773,1990,population_kids,191.0
27,Eastlake,107,199.2559558,1990,population_kids,142.0
28,Wallingford,203,258.0056129,1990,population_kids,448.0
29,Ballard,303,495.4763052,1990,population_kids,951.0
30,South Park,128,263.7986201,1990,population_kids,638.0
31,Othello,123,498.9632413,1990,population_kids,2338.0
