,neighborhood,neighborhood_no,area,1990,2000,2010,2020
0,Arbor Heights,1.1,785.9,1284,1227,1161,1278
1,Fauntleroy/Seaview,1.2,1393.1,2074,2134,2371,2651
2,West Seattle Junction/Genesee Hill,1.3,1447.5,2769,2751,3202,3981
3,Alki/Admiral,1.4,898.3,1197,1255,1508,1698
4,North Delridge,2.1,1606.9,761,683,683,890
5,High Point,2.2,553.2,2040,2157,2173,2329
6,Riverview,2.3,1005.9,1034,1148,1061,1046
7,Roxhill/Westwood,2.4,978.5,2525,2670,2603,2376
8,Highland Park,2.5,897.7,1328,1577,1268,1228
9,South Park,3.1,693.9,771,1031,966,777
10,Georgetown,3.2,1183.9,234,181,163,155
11,Duwamish/SODO,3.3,2343.5,240,277,244,313
12,South Beacon Hill/NewHolly,3.4,1549.5,3291,3169,3892,3518
13,Beacon Hill,3.5,841.1,1805,1968,1799,1775
14,North Beacon Hill/Jefferson Park,3.6,1232.0,2774,2830,2460,2510
15,Rainier Beach,4.1,1363.1,3555,3775,3389,3356
16,Columbia City,4.2,1310.2,4903,4180,3692,4186
17,Seward Park,4.3,1010.6,1681,2255,2112,2084
18,Mt. Baker/North Rainier,4.4,629.9,1343,1316,1279,1268
19,Madrona/Leschi,5.1,827.0,2055,2062,2002,2078
20,Judkins Park,5.2,202.9,383,443,400,494
21,Central Area/Squire Park,5.3,849.6,3091,2505,2346,2385
22,First Hill,6.1,440.9,871,966,824,842
23,Capitol Hill,6.2,426.5,604,642,681,880
24,North Capitol Hill,6.3,283.7,427,388,441,466
25,Miller Park,6.4,364.2,1156,1075,1147,1204
26,Madison Park,6.5,558.6,698,704,898,933
27,Montlake/Portage Bay,7.1,951.1,1117,1064,1199,1346
28,University District,7.2,957.0,652,623,606,1106
29,Ravenna/Bryant,7.3,1635.1,3195,3709,4227,4929
30,Wedgwood/View Ridge,7.4,1502.6,2567,2831,3179,3714
31,Laurelhurst/Sand Point,7.5,1403.7,2036,2295,2645,2786
32,Northgate/Maple Leaf,8.1,1146.5,1541,1665,2194,2558
33,Olympic Hills/Victory Heights,8.2,1393.5,2052,2240,2339,2667
34,Cedar Park/Meadowbrook,8.3,1210.7,1928,2211,2391,2582
35,Broadview/Bitter Lake,9.1,1478.5,1589,1869,2013,2638
36,Licton Springs,9.2,524.6,1151,1027,1137,1334
37,Greenwood/Phinney Ridge,9.3,1533.9,3525,3476,3870,4676
38,Green Lake,9.4,1330.0,1622,1586,1959,2606
39,Haller Lake,9.5,1247.6,1528,1733,1810,1892
40,North Beach/Blue Ridge,10.1,1284.4,1731,1968,2190,2481
41,Whittier Heights,10.2,688.7,1815,1693,2096,2617
42,Sunset Hill/Loyal Heights,10.3,1035.4,2077,2168,2367,2782
43,Ballard,10.4,492.9,516,428,490,698
44,Fremont,11.1,893.6,1457,1262,1610,2040
45,Wallingford,11.2,810.5,1392,1342,1821,2423
46,Cascade/Eastlake,11.3,727.6,221,402,449,1288
47,Magnolia,12.1,1968.4,2230,2378,2655,3213
48,Interbay,12.2,1214.6,855,991,1147,1705
49,Queen Anne,12.3,1888.4,2843,2787,3623,5074
50,Belltown,13.1,176.5,44,172,176,378
51,Downtown Commercial Core,13.2,206.5,64,157,101,145
52,Pioneer Square/International District,13.3,180.6,288,381,454,462
