OBJECTID,NEIGH_NO,NEIGH_NAME,UV_TYPE,TYPE_NAME,AREA_ACRES,F1990_PL_data_TOT_POP,F1990_PL_data_WHITE_NOT,F1990_PL_data_BLACK_NOT,F1990_PL_data_AMI_NOT,F1990_PL_data_ASIAN_NOT,F1990_PL_data_OTHER_NOT,F1990_PL_data_WHITE_HISP,F1990_PL_data_BLACK_HISP,F1990_PL_data_AMI_HISP,F1990_PL_data_ASIAN_HISP,F1990_PL_data_OTHER_HISP,F1990_PL_data_HISPANIC,F1990_PL_data_NOT_HISP,F1990_PL_data_POC,F1990_PL_data_POP_UNDER_18,F1990_PL_data_POC_U_18,F1990_PL_data_POP_OVER_18,F1990_PL_data_HU,F1990_PL_data_HU_OCC,F1990_PL_data_HU_VAC,F2000_PL_data_TOT_POP,F2000_PL_data_POP_ONE,F2000_PL_data_WHITE_ALONE,F2000_PL_data_BLACK_ALONE,F2000_PL_data_AMI_ALONE,F2000_PL_data_ASIAN_ALONE,F2000_PL_data_PI_ALONE,F2000_PL_data_OTHER_ALONE,F2000_PL_data_TWO_MORE,F2000_PL_data_HISPANIC,F2000_PL_data_NOT_HISPANIC,F2000_PL_data_WHITE_NOT_HISPANI,F2000_PL_data_BLACK_NOT_HISPANI,F2000_PL_data_AMI_NOT_HISPANIC,F2000_PL_data_ASIAN_NOT_HISPANI,F2000_PL_data_PI_NOT_HISPANIC,F2000_PL_data_OTHER_NOT_HISPANI,F2000_PL_data_TWO__NOT_HISPANIC,F2000_PL_data_POC,F2000_PL_data_POP_OVER_18,F2000_PL_data_POP_UNDER_18,F2000_PL_data_U_18_POC,F2000_PL_data_HU,F2000_PL_data_HU_OCC,F2000_PL_data_HU_VAC,F2010_PL_data_TOT_POP,F2010_PL_data_POP_ONE,F2010_PL_data_WHITE_ALONE,F2010_PL_data_BLACK_ALONE,F2010_PL_data_AMI_ALONE,F2010_PL_data_ASIAN_ALONE,F2010_PL_data_PI_ALONE,F2010_PL_data_OTHER_ALONE,F2010_PL_data_TWO_MORE,F2010_PL_data_HISPANIC,F2010_PL_data_NOT_HISPANIC,F2010_PL_data_WHITE_NOT_HISPANI,F2010_PL_data_BLACK_NOT_HISPANI,F2010_PL_data_AMI_NOT_HISPANIC,F2010_PL_data_ASIAN_NOT_HISPANI,F2010_PL_data_PI_NOT_HISPANIC,F2010_PL_data_OTHER_NOT_HISPANI,F2010_PL_data_TWO__NOT_HISPANIC,F2010_PL_data_POC,F2010_PL_data_POP_OVER_18,F2010_PL_data_POP_UNDER_18,F2010_PL_data_U_18_POC,F2010_PL_data_HU,F2010_PL_data_HU_OCC,F2010_PL_data_HU_VACANT,F2020_PL_data_TOT_POP,F2020_PL_data_POP_ONE,F2020_PL_data_WHITE_ALONE,F2020_PL_data_BLACK_ALONE,F2020_PL_data_AMI_ALONE,F2020_PL_data_ASIAN_ALONE,F2020_PL_data_PI_ALONE,F2020_PL_data_OTHER_ALONE,F2020_PL_data_TWO_MORE,F2020_PL_data_HISPANIC,F2020_PL_data_NOT_HISPANIC,F2020_PL_data_WHITE_NOT_HISPANI,F2020_PL_data_BLACK_NOT_HISPANI,F2020_PL_data_AMI_NOT_HISPANIC,F2020_PL_data_ASIAN_NOT_HISPANI,F2020_PL_data_PI_NOT_HISPANIC,F2020_PL_data_OTHER_NOT_HISPANI,F2020_PL_data_TWO__NOT_HISPANIC,F2020_PL_data_POC,F2020_PL_data_POP_OVER_18,F2020_PL_data_POP_UNDER_18,F2020_PL_data_U_18_POC,F2020_PL_data_HU,F2020_PL_data_HU_OCC,F2020_PL_data_HU_VACANT,F1990_PL_data_GQ_I,F1990_PL_data_GQ_N_I,F2000_PL_data_GQ_I,F2000_PL_data_GQ_N_I,F2010_PL_data_GQ_I,F2010_PL_data_GQ_N_I,F2020_PL_data_GQ_I,F2020_PL_data_GQ_N_I,Shape__Area,Shape__Length,change,perc_change
1,106,Upper Queen Anne,RUV,Residential Urban Village,52.65872029,1921,1715,56,11,71,3,30,2,1,4,28,65,1856,206,125,28,1796,1334,1274,60,2018,1963,1784,38,12,92,2,35,55,64,1954,1753,37,12,91,2,12,47,265,1892,126,23,1415,1350,65,2143,2036,1809,48,10,147,2,20,107,98,2045,1749,47,10,145,2,2,90,394,2007,136,41,1570,1438,132,2604,2352,1979,54,16,257,7,39,252,175,2429,1921,48,8,256,7,14,175,683,2403,201,106,1829,1718,111,0,37,0,0,0,4,0,0,2293804.686,11354.22008,461,0.2151189920671955
2,302,Fremont,HUV,Hub Urban Village,214.511083,3153,2697,90,64,189,6,43,2,4,4,54,107,3046,456,266,68,2887,2000,1890,110,3441,3321,2954,76,43,189,4,55,120,154,3287,2875,76,31,189,4,15,97,566,3270,171,67,2188,2122,66,3960,3768,3249,104,23,326,7,59,192,173,3787,3160,100,20,321,7,18,161,800,3745,215,102,2558,2369,189,5841,5257,4100,145,44,825,9,134,584,409,5432,3997,140,26,814,8,41,406,1844,5502,339,173,3611,3477,134,0,47,0,63,0,90,0,66,9344065.394,16236.22258,1881,0.475
3,205,West Seattle Junction,HUV,Hub Urban Village,270.4170255,3627,3169,145,33,150,0,51,1,9,10,59,130,3497,458,413,109,3214,1921,1793,128,4127,3973,3321,161,55,221,29,186,154,357,3770,3191,157,44,217,28,17,116,936,3693,434,176,2297,2161,136,5043,4786,4075,186,53,321,29,122,257,379,4664,3892,175,44,319,27,5,202,1151,4605,438,206,3213,2946,267,9160,8249,6444,414,47,1015,29,300,911,820,8340,6238,402,28,1000,24,43,605,2922,8483,677,294,6156,5790,366,401,14,358,13,272,0,235,12,11779318.53,20674.9307,4117,0.8163791394011501
4,111,Columbia City,RUV,Residential Urban Village,334.5433404,4281,898,1827,111,1269,11,32,31,4,38,60,165,4116,3383,1335,1199,2946,1856,1698,158,4991,4636,885,1578,105,1795,55,218,355,394,4597,781,1561,85,1778,48,27,317,4210,3568,1423,1339,1981,1839,142,4609,4352,1473,1312,38,1306,13,210,257,441,4168,1317,1288,22,1301,13,7,220,3292,3641,968,809,2116,1946,170,7661,6915,2972,1968,64,1571,17,323,746,643,7018,2868,1943,29,1562,16,46,554,4793,6183,1478,1164,3487,3341,146,0,5,98,7,95,20,102,80,14572649.61,25210.67846,3052,0.6621826860490345
5,414,First Hill/Capitol Hill,UC,Urban Center,916.2218015,28940,21504,3037,534,2403,45,688,110,61,86,472,1417,27523,7436,1729,993,27211,20617,18847,1770,33902,32359,24537,3036,487,3270,191,838,1543,2115,31787,23547,2962,442,3243,186,111,1296,10355,32021,1881,1329,22436,21263,1173,35892,34089,25576,2902,401,4206,139,865,1803,2630,33262,24211,2843,337,4164,134,107,1466,11681,34106,1786,1292,25480,22883,2597,49174,43864,29802,3410,354,8552,160,1586,5310,4576,44598,28660,3333,252,8453,148,307,3445,20514,47280,1894,1372,34127,31468,2659,660,1370,782,2278,332,2329,846,3135,39910461.99,31324.33554,13282,0.3700546082692522
6,202,Roosevelt,RUV,Residential Urban Village,170.2117761,2210,1942,58,17,113,1,49,5,0,4,21,79,2131,268,295,41,1915,1100,1053,47,2479,2363,2074,52,21,169,7,40,116,107,2372,2026,51,21,169,4,4,97,453,2198,281,74,1233,1159,74,2616,2491,2161,66,11,214,3,36,125,136,2480,2072,66,10,213,3,10,106,544,2283,333,78,1303,1214,89,4678,4132,3064,147,29,755,2,135,546,361,4317,2984,138,22,753,2,45,373,1694,4213,465,181,2973,2754,219,0,0,0,17,12,6,0,17,7414395.309,12734.46167,2062,0.7882262996941896
7,312,South Lake Union,UC,Urban Center,339.886927,1116,960,42,14,39,4,41,3,2,0,11,57,1059,156,80,19,1036,681,650,31,1547,1485,1179,173,32,71,3,27,62,91,1456,1125,167,30,71,2,4,57,422,1425,122,75,889,746,143,3774,3584,2663,394,36,410,18,63,190,235,3539,2517,388,30,406,18,6,174,1257,3616,158,113,2781,2459,322,12905,11900,5351,697,70,5449,23,310,1005,927,11978,5094,683,46,5438,22,63,632,7811,12356,549,410,9210,8384,826,0,122,82,351,11,258,337,273,14805415.29,22534.21092,9131,2.419448860625331
8,401,University District,UC,Urban Center,751.9638778,18166,13181,592,201,3484,35,325,21,13,53,261,673,17493,4985,592,289,17574,6474,6197,277,19664,18613,13635,456,136,4024,60,302,1051,868,18796,13213,449,114,3996,60,47,917,6451,19105,559,292,7056,6782,274,22875,21394,13898,587,111,6329,84,385,1481,1225,21650,13219,561,90,6295,80,49,1356,9656,22423,452,265,8420,7715,705,29887,27259,13758,1061,175,11048,100,1117,2628,2579,27308,12900,1011,130,10998,92,138,2039,16987,28951,936,642,11688,10397,1291,82,6691,0,7263,30,8738,41,11963,32755415.51,34394.18552,7012,0.30653551912568305
9,103,Crown Hill,RUV,Residential Urban Village,270.9887543,3600,3197,58,60,172,8,61,0,10,4,30,105,3495,403,579,102,3021,1824,1761,63,3874,3729,3301,68,71,225,5,59,145,162,3712,3222,67,69,221,5,13,115,652,3230,644,174,1905,1842,63,4191,3932,3407,121,29,224,6,145,259,386,3805,3224,117,24,218,6,12,204,967,3444,747,249,1977,1901,76,4893,4314,3515,97,30,557,15,100,579,294,4599,3466,95,20,550,15,33,420,1427,3966,927,333,2288,2211,77,0,15,0,30,0,24,0,17,11804222.94,18675.80797,702,0.16750178954903364
10,127,Westwood-Highland Park,RUV,Residential Urban Village,275.0621961,3765,2269,327,121,727,12,141,1,11,18,138,309,3456,1496,970,508,2795,1703,1631,72,4330,4041,1921,560,94,770,66,630,289,812,3518,1796,541,86,770,66,18,241,2534,3239,1091,855,1949,1849,100,4606,4282,2198,545,124,773,33,609,324,1183,3423,1807,524,82,762,32,4,212,2799,3513,1093,882,2123,1944,179,4751,3993,2014,635,88,666,22,568,758,1129,3622,1877,618,40,665,18,36,368,2874,3804,947,738,2241,2116,125,0,0,0,0,0,2,0,36,11981661.32,18487.42827,145,0.03148067737733391
